OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,NationalHighwaySystem,Length,LRSDate,GlobalID,SHAPESTLength
6616,420008520i,1.3309999704361,1.53299999237061,1,0.202000007033348,2021/12/31 00:00:00+00,{3923DCC5-69BC-48B9-9793-EC05FDFC201E},1066.96077714703
6617,720001880i,0.689999997615814,1.00600004196167,1,0.316000014543533,2021/12/31 00:00:00+00,{397A04F3-5DB6-4AFB-A7E9-4E14AFB6135A},1668.20863908199
6618,240000390i,0,0.316000014543533,3,0.316000014543533,2021/12/31 00:00:00+00,{3981558E-6425-4000-87A2-14F3DFC492FA},1670.36275418956
6619,420009420i,9.14900016784668,9.95400047302246,1,0.805000007152557,2021/12/31 00:00:00+00,{39D8E90C-76D8-4C95-AC96-1F4FA8C5D187},4250.48153756697
6620,420003730i,1.60399997234344,1.66499996185303,3,0.0610000006854534,2021/12/31 00:00:00+00,{3A37AA28-3B91-4021-AFFD-76CD9C8E5144},320.311753606418
6621,420007005i,0,0.275999993085861,1,0.275999993085861,2021/12/31 00:00:00+00,{3A4BF5CD-AA3D-4EE9-934E-7E07C57E610F},1457.86876358464
6622,140001080i,2.7720000743866,2.92899990081787,1,0.157000005245209,2021/12/31 00:00:00+00,{3A6677D1-B21B-447A-9B4F-448CFA012AE1},828.808001184073
6623,720001520i,10.5159997940063,10.8649997711182,1,0.349000006914139,2021/12/31 00:00:00+00,{3A6C74DE-85A0-43C1-B61D-873B952E9614},1843.34686430214
6624,620001230i,0.689999997615814,0.978999972343445,1,0.289000004529953,2021/12/31 00:00:00+00,{3A9A0A2C-535B-4D98-9CDF-DCE80801E761},1526.07008568157
6625,420002070i,0.228000000119209,2.50099992752075,1,2.27300000190735,2021/12/31 00:00:00+00,{3B0137ED-D10C-488F-A9DD-9713547FEEAD},12000.909555145
6626,760000970i,4.02400016784668,4.57999992370605,1,0.555999994277954,2021/12/31 00:00:00+00,{3B42B8CA-EB50-4DE1-B43F-9824B700AD90},2938.56859778147
6627,420004800i,0.0610000006854534,0.122000001370907,1,0.0610000006854534,2021/12/31 00:00:00+00,{3B49FFD5-5509-4C99-9FA1-EE8D4096658C},321.991503508517
6628,180000730i,0,0.206000000238419,3,0.206000000238419,2021/12/31 00:00:00+00,{3B5365B1-3B75-4FD7-8C61-8B7493F0D750},1087.52855212921
6629,620004140i,0,0.449000000953674,1,0.449000000953674,2021/12/31 00:00:00+00,{3B5F076D-CC3C-4F3A-B7E5-008BF49CFC24},2369.53113709086
6630,140001180i,0.663999974727631,0.930000007152557,1,0.266000002622604,2021/12/31 00:00:00+00,{3B780FA8-C045-45D5-9E2C-F0B3CD91FD5D},1404.45807463434
6631,300000460i,4.36999988555908,4.62400007247925,1,0.254000008106232,2021/12/31 00:00:00+00,{3BBD3B91-F2C2-4795-A4A1-4201A25A5120},1341.34809957012
6632,340001940i,1.72399997711182,1.81200003623962,1,0.0879999995231628,2021/12/31 00:00:00+00,{3C87D477-9096-4ED3-BEFC-2DAE84A9FE2B},465.079652506184
6633,720001700i,0.0410000011324883,0.090999998152256,7,0.0500000007450581,2021/12/31 00:00:00+00,{3CD7E89F-1A44-4900-A0EA-95EA837EF1D0},265.847610357486
6634,420004560i,0.303999990224838,0.425999999046326,1,0.122000001370907,2021/12/31 00:00:00+00,{3D409327-DE65-4651-A50B-7F7FF55F2582},644.214108535041
6635,200000970i,3.0220000743866,3.77300000190735,1,0.750999987125397,2021/12/31 00:00:00+00,{3D56A6DA-D739-44FA-BE2F-05E1A6CCCB7E},3965.47876679514
