OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,DividedIndicator,SnapshotDate,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,LRSDate,SHAPESTLength
3074,097FD06274d,0,0.540000021457672,N,2022/02/05 00:00:00+00,0,A,0.540000021457672,A,2021/12/31 00:00:00+00,2834.70809240657
3075,097d,198.059997558594,321.5,N,2022/02/05 00:00:00+00,213,A,336.459991455078,A,2021/12/31 00:00:00+00,651659.599807903
3076,129SP6THSTd,0,0.25,N,2022/02/05 00:00:00+00,42.1699981689453,A,42.4199981689453,A,2021/12/31 00:00:00+00,1334.0243723203
3077,097d,118.550003051758,169.729995727539,N,2022/02/05 00:00:00+00,133.899993896484,A,184.949996948242,A,2021/12/31 00:00:00+00,270108.180417549
3078,097d,2.82999992370605,61.0499992370605,N,2022/02/05 00:00:00+00,2.58999991416931,A,61.439998626709,A,2021/12/31 00:00:00+00,307357.776483241
3079,097d,0,2.74000000953674,N,2022/02/05 00:00:00+00,0,B,2.5,A,2021/12/31 00:00:00+00,14345.7237778635
3080,104i,29.3099994659424,29.3799991607666,Y,2022/02/05 00:00:00+00,29.8400001525879,A,29.9099998474121,A,2021/12/31 00:00:00+00,421.189944441108
3081,097COMARYHLi,0,0.0900000035762787,N,2022/02/05 00:00:00+00,2.58999991416931,A,2.6800000667572,A,2021/12/31 00:00:00+00,568.205724358904
3082,169d,23,23.7999992370605,Y,2022/02/05 00:00:00+00,23,A,23.7999992370605,A,2021/12/31 00:00:00+00,4226.05044358232
3083,097COMARYHLd,0,0.0599999986588955,N,2022/02/05 00:00:00+00,2.58999991416931,A,2.65000009536743,A,2021/12/31 00:00:00+00,340.416888486985
3084,097ARi,0.759999990463257,39.9500007629395,N,2022/02/05 00:00:00+00,200.589996337891,A,239.639999389648,A,2021/12/31 00:00:00+00,207021.058583947
3085,097ARi,0,0.759999990463257,Y,2022/02/05 00:00:00+00,199.830001831055,A,200.589996337891,A,2021/12/31 00:00:00+00,4032.97110027291
3086,097ARd,0,0.759999990463257,Y,2022/02/05 00:00:00+00,199.830001831055,A,200.589996337891,A,2021/12/31 00:00:00+00,4047.6905024757
3087,096i,0,6.75,N,2022/02/05 00:00:00+00,0,A,6.75,A,2021/12/31 00:00:00+00,35634.0266122891
3088,096d,0,6.75,N,2022/02/05 00:00:00+00,0,A,6.75,A,2021/12/31 00:00:00+00,35634.0266122891
3089,092SPGRANITi,0,0.0799999982118607,Y,2022/02/05 00:00:00+00,7.26000022888184,A,7.34000015258789,A,2021/12/31 00:00:00+00,401.987506151354
3090,092SPGRANITd,0,0.0799999982118607,Y,2022/02/05 00:00:00+00,7.26000022888184,A,7.34000015258789,A,2021/12/31 00:00:00+00,400.700937428232
3091,092i,8.17000007629395,8.28999996185303,Y,2022/02/05 00:00:00+00,8.17000007629395,A,8.28999996185303,A,2021/12/31 00:00:00+00,681.5359773616
3092,092i,7.55999994277954,8.17000007629395,N,2022/02/05 00:00:00+00,7.55999994277954,A,8.17000007629395,A,2021/12/31 00:00:00+00,3243.39114597287
3093,167P101039i,0,0.259999990463257,N,2022/02/05 00:00:00+00,0,A,0.259999990463257,A,2021/12/31 00:00:00+00,1547.08934886995
3094,161d,25.6399993896484,25.7299995422363,Y,2022/02/05 00:00:00+00,25.6399993896484,A,25.7299995422363,A,2021/12/31 00:00:00+00,414.957325021915
3095,092i,7.21000003814697,7.55999994277954,Y,2022/02/05 00:00:00+00,7.21000003814697,A,7.55999994277954,A,2021/12/31 00:00:00+00,1796.74706754859
3096,092i,0,7.21000003814697,N,2022/02/05 00:00:00+00,0,A,7.21000003814697,A,2021/12/31 00:00:00+00,37960.7723173766
3097,092d,8.17000007629395,8.28999996185303,Y,2022/02/05 00:00:00+00,8.17000007629395,A,8.28999996185303,A,2021/12/31 00:00:00+00,675.01700450564
3098,092d,7.55999994277954,8.17000007629395,N,2022/02/05 00:00:00+00,7.55999994277954,A,8.17000007629395,A,2021/12/31 00:00:00+00,3243.39114597287
3099,092d,7.21000003814697,7.55999994277954,Y,2022/02/05 00:00:00+00,7.21000003814697,A,7.55999994277954,A,2021/12/31 00:00:00+00,1828.43704273908
3100,129d,40.7900009155273,40.9000015258789,Y,2022/02/05 00:00:00+00,40.7900009155273,A,40.9000015258789,A,2021/12/31 00:00:00+00,690.105912723747
3101,092d,0,7.21000003814697,N,2022/02/05 00:00:00+00,0,A,7.21000003814697,A,2021/12/31 00:00:00+00,37960.7723173766
3102,090Y224257i,0,0.25,N,2022/02/05 00:00:00+00,0,A,0.25,A,2021/12/31 00:00:00+00,1342.00495625907
3103,090Y212589i,0,0.209999993443489,N,2022/02/05 00:00:00+00,0,A,0.209999993443489,A,2021/12/31 00:00:00+00,1099.89182262188
3104,090Y208947i,0,0.200000002980232,N,2022/02/05 00:00:00+00,0,A,0.200000002980232,A,2021/12/31 00:00:00+00,1099.72896358998
3105,182P101411i,0,0.360000014305115,N,2022/02/05 00:00:00+00,0,A,0.360000014305115,A,2021/12/31 00:00:00+00,1958.84862081407
3106,090Y124257i,0,0.769999980926514,N,2022/02/05 00:00:00+00,0,A,0.769999980926514,A,2021/12/31 00:00:00+00,4083.91925986515
3107,090Y119886i,0,1.12000000476837,N,2022/02/05 00:00:00+00,0,A,1.12000000476837,A,2021/12/31 00:00:00+00,5905.5498160383
3108,090Y116206i,0,0.660000026226044,N,2022/02/05 00:00:00+00,0,A,0.660000026226044,A,2021/12/31 00:00:00+00,3453.31940323249
3109,090Y112589i,0,0.779999971389771,N,2022/02/05 00:00:00+00,0,A,0.779999971389771,A,2021/12/31 00:00:00+00,4152.6777513141
3110,195LX07078i,0,0.129999995231628,N,2022/02/05 00:00:00+00,0,A,0.129999995231628,A,2021/12/31 00:00:00+00,637.773598381884
3111,090Y108947i,0,0.610000014305115,N,2022/02/05 00:00:00+00,0,A,0.610000014305115,A,2021/12/31 00:00:00+00,3188.5743549697
3112,090X224161i,0,0.170000001788139,N,2022/02/05 00:00:00+00,0,A,0.170000001788139,A,2021/12/31 00:00:00+00,882.390614363985
3113,090X219792i,0,0.150000005960464,N,2022/02/05 00:00:00+00,0,A,0.150000005960464,A,2021/12/31 00:00:00+00,733.338935178974
3114,090X216112i,0,0.239999994635582,N,2022/02/05 00:00:00+00,0,A,0.239999994635582,A,2021/12/31 00:00:00+00,1293.88717456403
3115,090X208876i,0,0.310000002384186,N,2022/02/05 00:00:00+00,0,A,0.310000002384186,A,2021/12/31 00:00:00+00,1598.38494964586
3116,090X119792i,0,1.04999995231628,N,2022/02/05 00:00:00+00,0,A,1.04999995231628,A,2021/12/31 00:00:00+00,5473.9320321041
3117,090X116112i,0,0.660000026226044,N,2022/02/05 00:00:00+00,0,A,0.660000026226044,A,2021/12/31 00:00:00+00,3496.18779928798
3118,090X112548i,0,0.970000028610229,N,2022/02/05 00:00:00+00,0,A,0.970000028610229,A,2021/12/31 00:00:00+00,5118.05958521882
3119,090W229862i,0,0.239999994635582,N,2022/02/05 00:00:00+00,0,A,0.239999994635582,A,2021/12/31 00:00:00+00,1268.51252566486
3120,090W207990i,0,0.150000005960464,N,2022/02/05 00:00:00+00,0,A,0.150000005960464,A,2021/12/31 00:00:00+00,810.654971615075
3121,161d,35,35.2299995422363,Y,2022/02/05 00:00:00+00,35,A,35.2299995422363,A,2021/12/31 00:00:00+00,1156.45063469482
3122,090W129862i,0,0.870000004768372,N,2022/02/05 00:00:00+00,0,A,0.870000004768372,A,2021/12/31 00:00:00+00,4614.5325098931
3123,090W123062i,0,0.109999999403954,N,2022/02/05 00:00:00+00,0,A,0.109999999403954,A,2021/12/31 00:00:00+00,605.014910636598
3124,090W107990i,0,0.550000011920929,N,2022/02/05 00:00:00+00,0,A,0.550000011920929,A,2021/12/31 00:00:00+00,2934.81954817302
3125,090U123181i,0,0.119999997317791,N,2022/02/05 00:00:00+00,0,A,0.119999997317791,A,2021/12/31 00:00:00+00,624.033507204933
3126,167S102109i,0,0.280000001192093,N,2022/02/05 00:00:00+00,0,A,0.280000001192093,A,2021/12/31 00:00:00+00,1591.54869779168
3127,167LX01066i,0,0.219999998807907,N,2022/02/05 00:00:00+00,0,A,0.219999998807907,A,2021/12/31 00:00:00+00,1126.8475484766
3128,090S529595i,0,0.600000023841858,N,2022/02/05 00:00:00+00,0,A,0.600000023841858,A,2021/12/31 00:00:00+00,3257.62040120446
3129,090S529168i,0,0.449999988079071,N,2022/02/05 00:00:00+00,0,A,0.449999988079071,A,2021/12/31 00:00:00+00,2446.76947418986
3130,090S527938i,0,0.180000007152557,N,2022/02/05 00:00:00+00,0,A,0.180000007152557,A,2021/12/31 00:00:00+00,1101.24564523274
3131,090S527050i,0,0.439999997615814,N,2022/02/05 00:00:00+00,0,A,0.439999997615814,A,2021/12/31 00:00:00+00,2359.87153244847
3132,090S513792i,0,0.75,N,2022/02/05 00:00:00+00,0,A,0.75,A,2021/12/31 00:00:00+00,3909.31779657377
3133,090S510902i,0,0.730000019073486,N,2022/02/05 00:00:00+00,0,A,0.730000019073486,A,2021/12/31 00:00:00+00,3936.89277864305
3134,202d,9.03999996185303,9.10999965667725,Y,2022/02/05 00:00:00+00,9.10999965667725,A,9.18000030517578,A,2021/12/31 00:00:00+00,445.291241626396
3135,090S501161i,0,0.25,N,2022/02/05 00:00:00+00,0,A,0.25,A,2021/12/31 00:00:00+00,1487.01577794922
3136,090S329162i,0,0.0900000035762787,N,2022/02/05 00:00:00+00,0,A,0.0900000035762787,A,2021/12/31 00:00:00+00,966.573824904585
3137,169d,19.7099990844727,23,N,2022/02/05 00:00:00+00,19.7099990844727,A,23,A,2021/12/31 00:00:00+00,17369.9417639785
3138,090S229162i,0,0.100000001490116,N,2022/02/05 00:00:00+00,0,A,0.100000001490116,A,2021/12/31 00:00:00+00,573.365022628067
3139,090S228907i,0,0.0900000035762787,N,2022/02/05 00:00:00+00,0,A,0.0900000035762787,A,2021/12/31 00:00:00+00,513.140480418545
3140,090S228446i,0,0.129999995231628,N,2022/02/05 00:00:00+00,0,A,0.129999995231628,A,2021/12/31 00:00:00+00,695.844223013503
3141,099S102546i,0,0.319999992847443,N,2022/02/05 00:00:00+00,0,A,0.319999992847443,A,2021/12/31 00:00:00+00,1662.49161516479
3142,090S222013i,0,0.0900000035762787,N,2022/02/05 00:00:00+00,0,A,0.0900000035762787,A,2021/12/31 00:00:00+00,455.396680668644
3143,090S202501i,0,0.449999988079071,N,2022/02/05 00:00:00+00,0,A,0.449999988079071,A,2021/12/31 00:00:00+00,2348.89974018478
3144,090S200987i,0,0.0900000035762787,N,2022/02/05 00:00:00+00,0,A,0.0900000035762787,A,2021/12/31 00:00:00+00,560.946197685993
3145,090S200926i,0,0.400000005960464,N,2022/02/05 00:00:00+00,0,A,0.400000005960464,A,2021/12/31 00:00:00+00,2164.657028048
3146,090S129559i,0,0.660000026226044,N,2022/02/05 00:00:00+00,0,A,0.660000026226044,A,2021/12/31 00:00:00+00,3437.43859551422
3147,090S129371i,0,0.28999999165535,N,2022/02/05 00:00:00+00,0,A,0.28999999165535,A,2021/12/31 00:00:00+00,1826.40744186626
3148,090S129162i,0,0.28999999165535,N,2022/02/05 00:00:00+00,0,A,0.28999999165535,A,2021/12/31 00:00:00+00,1524.6278987592
