OBJECTID,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,InventoryDirection,LRSDate,GlobalID,SHAPESTLength
12162,099Q102396,099,Q1,02396,0,A,0.239999994635582,A,0,0.239999994635582,I,2021/12/31 00:00:00+00,{984AF45F-F270-4186-B7FC-1C37CD690028},1167.17817189597
12163,395P502359,395,P5,02359,0,A,0.439999997615814,A,0,0.439999997615814,I,2021/12/31 00:00:00+00,{9869F39C-2346-4633-8ACE-0F0755B7A421},2289.35459989501
12164,082R105440,082,R1,05440,0,A,0.409999996423721,A,0,0.409999996423721,I,2021/12/31 00:00:00+00,{98775DF1-A824-4039-B944-647A7BB2F11B},2160.69090567109
12165,082P203044,082,P2,03044,0,A,0.170000001788139,A,0,0.170000001788139,I,2021/12/31 00:00:00+00,{987B7EA1-74A5-4546-8050-C70A05D5628F},869.969164495755
12166,182P101411,182,P1,01411,0,A,0.360000014305115,A,0,0.360000014305115,I,2021/12/31 00:00:00+00,{987F0B94-2881-49FA-986A-7829B2F00A76},1958.84862081407
12167,082P108823,082,P1,08823,0,A,0.319999992847443,A,0,0.319999992847443,I,2021/12/31 00:00:00+00,{98A28F79-FB91-436E-BEC0-051EEF0C21BB},1733.33474653896
12168,167S100668,167,S1,00668,0,A,0.389999985694885,A,0,0.389999985694885,I,2021/12/31 00:00:00+00,{991C3899-AC3B-40C5-904A-B204A9671A38},2198.99917226768
12169,167Q100633,167,Q1,00633,0,A,0.550000011920929,A,0,0.550000011920929,I,2021/12/31 00:00:00+00,{9990C7A0-5FCF-4A04-84FF-98B2E3DCF8DD},3586.66123007306
12170,526P100172,526,P1,00172,0,A,0.400000005960464,A,0,0.400000005960464,I,2021/12/31 00:00:00+00,{999EEB3F-1701-45CB-B94C-E1E73AEBE9F9},2372.95940343482
12171,082R106930,082,R1,06930,0,A,0.370000004768372,A,0,0.370000004768372,I,2021/12/31 00:00:00+00,{99ADE4DF-5790-4164-A70D-FF4D8ABD0550},1976.0704225648
12172,395R101859,395,R1,01859,0,A,0.629999995231628,A,0,0.629999995231628,I,2021/12/31 00:00:00+00,{9B798C30-711C-4323-B761-803455879737},3341.71061601813
12173,182S500672,182,S5,00672,0,A,0.540000021457672,A,0,0.540000021457672,I,2021/12/31 00:00:00+00,{9C3E1C93-FAC8-44C3-9AAE-38A9E33DB038},2808.26627111697
12174,082P511285,082,P5,11285,0,A,0.529999971389771,A,0,0.529999971389771,I,2021/12/31 00:00:00+00,{9C4E188B-7FCC-4AF1-B9F2-C42B3D474680},2853.47346249106
12175,290S101033,290,S1,01033,0,A,0.209999993443489,A,0,0.209999993443489,I,2021/12/31 00:00:00+00,{9C5344CE-8A7D-498D-9380-AD3DDB799D2A},1097.47240310101
12176,090P515460,090,P5,15460,0,A,0.270000010728836,A,0,0.270000010728836,I,2021/12/31 00:00:00+00,{9C6270CC-CACB-4F4A-9E03-2E9AAFBDD759},1417.11782154424
12177,082R102930,082,R1,02930,0,A,0.259999990463257,A,0,0.259999990463257,I,2021/12/31 00:00:00+00,{9CAE2259-1292-410C-956F-59AC508B9601},1375.09810584673
12178,082S503793,082,S5,03793,0,A,0.639999985694885,A,0,0.639999985694885,I,2021/12/31 00:00:00+00,{9CBE1C4C-18C2-4E84-B67F-861C2A7ECC87},3351.52088951197
12179,090P128548,090,P1,28548,0,A,0.860000014305115,A,0,0.860000014305115,I,2021/12/31 00:00:00+00,{9CC540E6-965E-4A55-9F82-7E4E5516FB30},4546.20750034962
12180,395S104533,395,S1,04533,0,A,0.560000002384186,A,0,0.560000002384186,I,2021/12/31 00:00:00+00,{9CEBB41F-E6E3-46CC-9B5F-4A0FF7936D2E},2805.81446425477
12181,512R101036,512,R1,01036,0,A,0.259999990463257,A,0,0.259999990463257,I,2021/12/31 00:00:00+00,{9CF52500-649C-4DF7-BBD3-1612622AA455},1406.54373565267
12182,395P108164,395,P1,08164,0,A,0.529999971389771,A,0,0.529999971389771,I,2021/12/31 00:00:00+00,{9CF6AB6B-7D2C-485E-AF1D-258E9C25D39B},2847.59239668268
12183,303R100141,303,R1,00141,0,A,0.170000001788139,A,0,0.170000001788139,I,2021/12/31 00:00:00+00,{9DE9C734-0860-40B9-A1B5-67D87522D030},891.937455092305
12184,090P108565,090,P1,08565,0,A,0.200000002980232,A,0,0.200000002980232,I,2021/12/31 00:00:00+00,{9DF1AD59-4CD4-4BFF-849D-422D08E63B5E},1194.08980396721
12185,090P107383,090,P1,07383,0,A,0.230000004172325,A,0,0.230000004172325,I,2021/12/31 00:00:00+00,{9E0F6BF0-9612-4427-845C-5E9BD010A0A2},1211.98104520281
12186,101Q135038,101,Q1,35038,0,A,0.409999996423721,A,0,0.409999996423721,I,2021/12/31 00:00:00+00,{9E27626D-B941-41EB-B4E0-B86C750D5118},2234.95567756388
12187,518P100137,518,P1,00137,0,A,0.180000007152557,A,0,0.180000007152557,I,2021/12/31 00:00:00+00,{9E5F1AA3-DEC3-4895-A41A-888FA90ADF61},1030.998986091
12188,395R116759,395,R1,16759,0,A,0.509999990463257,A,0,0.509999990463257,I,2021/12/31 00:00:00+00,{9EFEF3D3-75EA-4423-8EAF-199424DCDC55},2683.11125325479
12189,405R102409,405,R1,02409,0,A,1,A,0,1,I,2021/12/31 00:00:00+00,{9F213121-8C83-4A86-A8A4-479B1FD43BE5},5420.09998402308
12190,432S100909,432,S1,00909,0,A,0.360000014305115,A,0,0.360000014305115,I,2021/12/31 00:00:00+00,{9F3084C2-C854-4946-A467-A19C554C62E7},1804.82619892903
12191,182R101294,182,R1,01294,0,A,0.239999994635582,A,0,0.239999994635582,I,2021/12/31 00:00:00+00,{9F618715-E74D-4464-BEB0-9EF803A693E6},1349.82228292712
12192,090R107829,090,R1,07829,0,A,0.230000004172325,A,0,0.230000004172325,I,2021/12/31 00:00:00+00,{9F64F115-DC8A-4DCF-AD6F-45C0D450392B},1259.91580441333
12193,520P100073,520,P1,00073,0,A,0.230000004172325,A,0,0.230000004172325,I,2021/12/31 00:00:00+00,{9F743056-EB10-4156-8597-98056F8B9906},1197.00804337351
12194,090S120636,090,S1,20636,0,A,0.519999980926514,A,0,0.519999980926514,I,2021/12/31 00:00:00+00,{9F830D89-0FE6-444D-9855-3990AC943798},2690.76444155704
12195,195Q107135,195,Q1,07135,0,A,0.569999992847443,A,0,0.569999992847443,I,2021/12/31 00:00:00+00,{A01E2A5B-9EB9-4CF8-BBBB-BE5D1355E2A8},2964.80817742586
12196,090P111520,090,P1,11520,0,A,0.300000011920929,A,0,0.300000011920929,I,2021/12/31 00:00:00+00,{A02A2C27-7334-4BE7-B10F-2394C202295E},1597.22420796313
12197,090S128746,090,S1,28746,0,A,0.379999995231628,A,0,0.379999995231628,I,2021/12/31 00:00:00+00,{A046869D-F992-4FA9-BD0A-568500008EA3},2008.26036238889
