Fuel Type,County,Antique,Antique Travel Trailer,Camper,Combination Farm,Combination Non Farm,Commercial,Commercial Motorcycle Trailer,Converter Gear,Farm,Farm Exempt,Federal,Federal Motorcycle Trailer,Fixed Load,For Hire,Government Exempt,House Dolly,Intermittent Trailer,Logging,Medium Electric Passenger,Medium Electric Truck,Mobile Home,Moped,Motorcycle,Motorhome,Neighborhood Electric Passenger,Neighborhood Electric Truck,Off Road Vehicle,Passenger Vehicle,Private School,Snowmobile,Snowmobile Exempt,Snowmobile Vintage,Stage,Taxi Cab,Tow Truck,Trailer,Travel Trailer,Truck,WATV,Total
Electricity Powered,37 WHATCOM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,10,18,3,9,0,0,683,0,0,0,0,0,0,0,0,0,11,0,738
Electricity Powered,38 WHITMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,15,0,0,0,0,0,0,0,0,0,2,1,23
Electricity Powered,39 YAKIMA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,4,0,0,78,0,0,0,0,0,0,0,0,0,4,0,94
Electricity Powered,40 STATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,66,0,0,0,0,0,0,0,0,0,2,0,73
Gas Powered,01 ADAMS,56,0,0,0,5,421,0,0,230,41,0,0,2,0,17,0,0,0,0,0,0,6,344,141,0,0,184,14721,0,100,0,0,0,2,0,0,0,5099,234,21603
Gas Powered,02 ASOTIN,36,0,0,0,0,288,0,0,45,5,0,0,0,0,11,0,0,0,0,0,0,14,1007,295,0,0,481,15373,0,123,0,3,0,0,0,0,0,6143,495,24319
Gas Powered,03 BENTON,764,0,0,3,5,3871,0,0,274,50,10,0,21,21,104,0,0,0,0,0,0,118,6828,2040,0,0,1521,141735,0,565,0,5,0,19,10,0,0,37022,1785,196771
Gas Powered,04 CHELAN,374,0,0,1,7,1488,0,0,183,17,2,0,3,34,43,0,0,0,0,0,0,74,4237,849,0,0,716,55077,0,1603,1,23,0,7,2,0,0,19270,1249,85260
Gas Powered,05 CLALLAM,442,0,0,0,6,1233,0,0,46,10,0,0,3,6,41,0,0,2,0,0,0,78,2822,1321,0,0,665,48823,0,24,0,0,1,8,9,0,0,18694,411,74645
Gas Powered,06 CLARK,1306,0,0,0,4,7554,0,0,90,24,4,0,14,115,216,0,0,0,0,0,0,430,14146,2882,0,0,1882,325342,1,999,0,6,0,24,5,0,0,72585,1571,429200
Gas Powered,07 COLUMBIA,27,0,0,1,0,90,0,0,105,8,0,0,3,0,5,0,0,0,0,0,0,6,215,67,0,0,184,3112,0,116,0,3,0,0,2,0,0,1562,129,5635
Gas Powered,08 COWLITZ,661,0,0,0,1,2047,0,0,68,19,1,0,2,12,71,0,0,1,0,0,0,87,3976,1104,0,0,667,72091,0,287,0,0,0,31,5,0,0,24626,576,106333
Gas Powered,09 DOUGLAS,160,0,0,2,4,742,0,0,177,10,0,0,3,7,35,0,0,0,0,0,0,15,1555,427,0,0,393,25339,0,406,1,0,0,1,0,0,0,9350,491,39118
Gas Powered,10 FERRY,17,0,0,0,0,80,0,0,20,17,0,0,0,0,5,0,0,0,0,0,0,1,182,91,0,0,83,2788,0,79,0,0,0,0,1,0,0,2054,268,5686
Gas Powered,11 FRANKLIN,243,0,0,5,9,2457,0,0,310,83,0,0,10,7,62,0,0,0,0,0,0,26,2706,734,0,0,686,60805,0,330,0,0,0,12,3,0,0,16602,1058,86148
Gas Powered,12 GARFIELD,21,0,0,1,0,30,0,0,91,8,0,0,1,0,1,0,0,0,0,0,0,1,72,30,0,0,165,1272,0,78,0,3,0,0,0,0,0,712,30,2516
Gas Powered,13 GRANT,384,0,0,16,12,1700,0,0,593,85,19,0,20,7,105,0,0,0,0,0,0,36,2809,933,0,0,826,55670,3,500,0,0,0,6,8,0,0,19669,2053,85454
Gas Powered,14 GRAYS HARBOR,269,0,0,0,2,1103,0,0,71,13,0,0,2,18,55,0,0,0,0,0,0,249,2218,845,0,0,755,43742,0,44,0,0,0,21,4,0,0,17604,233,67248
Gas Powered,15 ISLAND,363,0,0,0,4,1051,0,0,63,4,0,0,7,7,26,0,0,0,0,0,0,104,4393,989,0,0,457,59930,0,139,0,3,0,16,2,0,0,18037,429,86024
Gas Powered,16 JEFFERSON,170,0,0,0,0,411,0,0,20,22,0,0,2,4,21,0,0,0,0,0,0,57,1267,550,0,0,90,20253,0,13,0,0,0,2,0,0,0,7158,83,30123
Gas Powered,17 KING,5102,0,0,0,100,42184,0,0,121,35,39,0,42,1737,918,0,0,0,0,0,0,2128,49167,6916,0,0,7147,1416109,109,4110,1,23,10,251,71,0,0,179738,4523,1720581
Gas Powered,18 KITSAP,1340,0,0,0,8,4095,0,0,52,15,0,0,13,36,124,0,0,0,0,0,0,283,12470,2658,0,0,2208,195743,7,254,0,2,4,49,11,0,0,50804,1258,271434
Gas Powered,19 KITTITAS,309,0,0,1,6,1071,0,0,197,29,0,0,12,5,33,0,0,0,0,0,0,111,2479,563,0,0,940,26484,0,1973,3,22,0,14,14,0,0,10451,1456,46173
Gas Powered,20 KLICKITAT,131,0,0,1,0,329,0,0,108,25,0,0,1,0,32,0,0,0,0,0,0,8,797,209,0,0,196,11189,0,82,0,0,0,1,0,0,0,5104,61,18274
Gas Powered,21 LEWIS,646,0,0,2,3,1270,0,0,209,70,0,0,4,3,74,0,0,2,0,0,0,91,2787,925,0,0,832,48339,1,127,0,2,0,29,3,1,0,20000,635,76055
Gas Powered,22 LINCOLN,62,0,0,1,1,352,0,0,372,31,0,0,4,0,16,0,0,0,0,0,0,17,446,161,0,0,255,7352,1,140,0,1,0,0,0,0,0,3743,261,13216
Gas Powered,23 MASON,338,0,0,0,1,762,0,0,33,8,0,0,7,12,23,0,0,0,0,0,0,63,2577,937,0,0,854,39447,0,47,0,2,0,8,4,0,0,15941,315,61379
Gas Powered,24 OKANOGAN,220,0,0,1,3,652,0,0,342,3,0,0,12,5,43,0,0,0,0,0,0,30,1509,508,0,0,348,25996,0,821,1,9,0,20,3,0,0,13503,1398,45427
Gas Powered,25 PACIFIC,137,0,0,0,0,249,0,0,46,11,0,0,0,0,21,0,0,0,0,0,0,57,739,324,0,0,157,13810,0,3,0,0,0,1,3,0,0,6038,123,21719
Gas Powered,26 PEND OREILLE,44,0,0,0,0,341,0,0,32,4,0,0,2,0,10,0,0,0,0,0,0,5,534,209,0,0,212,8104,0,183,0,0,0,2,0,0,0,4068,641,14391
Gas Powered,27 PIERCE,3592,0,0,1,41,15406,0,0,159,32,2,0,39,318,390,0,0,0,0,0,0,781,26807,5594,0,0,5121,571646,22,1521,0,5,0,66,22,0,0,128767,3410,763742
Gas Powered,28 SAN JUAN,91,0,0,0,0,490,0,0,37,5,0,0,3,10,20,0,0,0,0,0,0,193,814,161,0,0,50,11495,0,11,0,0,0,10,3,0,0,4339,38,17770
Gas Powered,29 SKAGIT,768,0,0,3,8,3340,0,0,241,41,0,0,5,25,99,0,0,0,0,0,0,228,6636,1673,0,0,1346,99941,2,526,0,8,0,27,3,0,0,29453,1203,145576
Gas Powered,30 SKAMANIA,70,0,0,0,0,113,0,0,3,3,0,0,0,0,18,0,0,0,0,0,0,9,637,179,0,0,86,9015,0,80,0,0,0,1,4,0,0,3433,96,13747
Gas Powered,31 SNOHOMISH,2859,0,0,0,37,24728,0,0,137,41,3,0,90,274,460,0,0,0,0,0,0,603,29994,5959,0,0,4895,586530,29,2543,0,17,4,95,29,0,0,113573,4650,777550
Gas Powered,32 SPOKANE,1802,0,0,1,13,12776,0,0,520,96,18,0,13,108,207,0,0,0,0,0,0,184,17161,4806,0,0,4416,332545,25,1754,0,18,0,123,31,2,0,90451,6999,474069
Gas Powered,33 STEVENS,249,0,0,2,2,605,0,0,269,25,0,0,5,0,27,0,0,0,0,0,0,13,1619,654,0,0,563,25172,0,470,0,10,0,4,5,0,0,12759,2676,45129
Gas Powered,34 THURSTON,1320,0,0,2,14,4108,0,0,150,51,0,0,11,155,687,0,0,0,0,0,0,247,11383,2513,0,0,2510,202434,2,304,8,11,4,35,11,0,0,52221,1477,279658
Gas Powered,35 WAHKIAKUM,40,0,0,0,0,71,0,0,15,4,0,0,2,0,2,0,0,0,0,0,0,10,141,67,0,0,46,2461,0,2,0,0,0,0,0,0,0,1245,46,4152
Gas Powered,36 WALLA WALLA,236,0,0,2,1,961,0,0,180,22,0,0,9,18,44,0,0,0,0,0,0,183,1969,508,0,0,492,31939,1,164,0,2,0,1,2,0,0,10083,311,47128
Gas Powered,37 WHATCOM,994,0,0,0,4,5406,0,0,88,99,2,0,8,50,99,0,0,0,0,0,0,311,7573,2828,0,0,984,153722,1,423,0,2,8,32,4,0,0,37423,598,210659
Gas Powered,38 WHITMAN,100,0,0,4,3,481,0,0,594,37,0,0,0,2,36,0,0,0,0,0,0,48,1034,257,0,0,464,23039,0,116,0,0,0,16,1,0,0,7401,171,33804
