gas_key,gas_name_x,gas_lat,gas_long,attr_cnt_1mile_x,attr_cnt_5mile_x,attr_name_x,attr_lat_x,attr_long_x,distance_to_nearest_attr_x,crime_coord_x,crime_county_x,crime_population_x,violent_crime_x,murder_nonnegligent_manslaughter_x,Rape1_x,Robbery_x,aggravated_assault_x,property_crime_x,Burglary_x,larceny_theft_x,motor_vehicle_theft_x,Arson_x,total_crime_x,exit_name_x,exit_lat_x,exit_long_x,distance_to_nearest_exit_x,exit_x,num_EV_in_2_miles_of_gas_x,num_EV_in_5_miles_of_gas_x,num_EV_in_10_miles_of_gas_x,num_EV_in_20_miles_of_gas_x,num_EV_in_50_miles_of_gas_x,Closest_EV_Station_name_x,Closest_EV_Station_lat_x,Closest_EV_Station_long_x,distance_to_closest_ev_station_x,nri_geoid_x,nri_county_x,nri_population_x,nri_build_value_x,nri_agri_value_x,nri_area_x,nri_risk_score_x,nri_risk_rating_x,nri_intpt_lat_x,nri_intpt_long_x,nri_zipcode_x,census_tract_area_x,census_tract_category_x,traff_cnt_10m_avg_x,traff_cnt_10m_max_x,traff_cnt_5m_avg_x,traff_cnt_5m_max_x,num_ev_2_charger_cnt_5mile,num_ev_fast_charger_cnt_5mile
81,7-Eleven,46.9993061,-120.5485852,0,0,,,,,"46.9993060975452,-120.5485852",Kittitas,24313,50,0,12,6,32,729,96,602,31,3,1561,106,47.002554,-120.5864223,1.799,I90,5,5,5,5,56,Ellensburg,46.994236,-120.549197,0.3519,53037975600,Kittitas,2615,402555000,321875.7818,3.12536596,23.59485295,Relatively Moderate,46.9829953,-120.5539575,98926,0.000980165,2,11640.2381,33000,13311.53846,33000,2,22
83,7-Eleven,47.0022182,-120.5332538,0,0,,,,,"47.0022181975452,-120.5332538",Kittitas,24313,50,0,12,6,32,729,96,602,31,3,1561,109,46.973395,-120.5396861,2.0167,I90,5,5,5,5,58,Ellensburg,46.994236,-120.549197,0.933,53037975403,,,,,,,,,,,0.000477877,2,11640.2381,33000,13311.53846,33000,2,22
84,7-Eleven,47.2144544,-122.4724303,0,9,Events on 6th,47.2550164,-122.4698862,2.8082,"47.2144543975452,-122.4724303",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,132,47.2152413,-122.4626503,0.4627,I5,21,78,114,208,500,Tacoma Mall,47.21543,-122.47068,0.1064,53053062600,Pierce,2977,1060311000,0,2.681918546,36.85974608,Very High,47.2203846,-122.4773836,98409,0.000829661,2,41162.54237,219000,46042.65,219000,153,16
85,7-Eleven,47.2423776,-122.4659711,4,8,Events on 6th,47.2550164,-122.4698862,0.8934,"47.2423775975452,-122.4659711",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,,47.2308114,-122.4541824,0.9729,I5,54,79,113,233,500,"Walmart 4137 - Tacoma, WA",47.239472,-122.480252,0.7001,53053061700,Pierce,4578,431744000,0,1.019874147,29.60535186,Relatively High,47.2386879,-122.4578238,98405,0.000313593,2,42327.42925,219000,44982.63158,219000,153,16
89,Airport Fuel Farm,46.9688921,-122.9177646,0,0,,,,,"46.9688920975452,-122.9177646",Thurston,140883,467,2,70,110,285,4356,563,3373,420,17,9663,101,46.9761338,-122.9303556,0.7772,I5,2,25,53,64,346,Pilot Travel Center - Tesla Supercharger,46.952938,-122.935249,1.3781,53067010801,,,,,,,,,,,0.001031748,2,29502.45399,133000,28587.17949,133000,35,16
91,Ameristar,46.3089198,-119.979314,0,0,,,,,"46.3089197975452,-119.979314",Yakima,149495,531,11,58,123,339,4736,694,3289,753,17,10551,69,46.3060765,-119.9861759,0.3823,I82,2,2,2,6,44,Sunnyside High School,46.3232859,-119.993958,1.2153,53077002005,,,,,,,,,,,0.000528366,2,9218.214286,28000,9479.393939,28000,8,0
94,Arco,47.8206266,-122.2982662,0,0,,,,,"47.8206265975452,-122.2982662",Snohomish,427282,940,9,141,219,571,11159,1446,8125,1588,35,24233,,47.8162173,-122.2884729,0.5477,I5,22,48,135,500,500,Lynnwood Apartments,47.816836,-122.290084,0.4617,53061051402,,,,,,,,,,,0.000304438,2,38749.75556,199000,39533.84615,187000,93,21
95,Arco,46.7262008,-122.9745094,0,0,,,,,"46.7262007975452,-122.9745094",Lewis,27442,83,1,17,20,45,1072,150,856,66,1,2311,82,46.7335902,-122.9755046,0.5133,I5,4,4,5,8,195,Centralia - Wendy's,46.725269,-122.974272,0.0654,53041970500,Lewis,2099,227163000,97814.11043,0.906869428,30.21260546,Relatively High,46.7295346,-122.965338,98531,0.000312807,2,20959.68421,75000,19425.84906,75000,3,22
98,Arco,46.6647385,-120.5213968,0,0,,,,,"46.6647384975452,-120.5213968",Yakima,149495,531,11,58,123,339,4736,694,3289,753,17,10551,29,46.6452867,-120.5079066,1.4902,I82,0,6,11,14,33,Yakima,46.677586,-120.47913,2.1942,53077003100,Yakima,5232,504346000,28669421.25,25.49497259,21.55423762,Relatively Moderate,46.704844,-120.5844384,98942,0.007822774,1,14497.87879,51000,12828.66667,50000,9,14
102,Arco,47.0656863,-122.7222738,0,0,,,,,"47.0656862975452,-122.7222738",Thurston,140883,467,2,70,110,285,4356,563,3373,420,17,9663,114,47.0679297,-122.725374,0.2131,I5,1,10,47,152,500,InterCityTransit,47.067908,-122.76289,1.9198,53067012320,Thurston,2839,200912000,3274918.489,11.51703887,31.8457354,Relatively High,47.0275683,-122.6839154,98513,0.003626234,1,38157.27848,146000,39953,128000,20,7
