Longitude,Latitude,name
-122.389441,47.9317332975452,Bailey's Corner Store
-122.398725,48.8034720975452,Baker Bear Grocery
-122.4430444,48.7891033975452,Bakerview Shell
-122.4495015,47.2647642975452,Ball Auto
-122.4592936,48.0008468975452,Bayview Mobil
-122.6898814,45.7074263975452,B&B Gas & Groceries
-118.7368121,48.6419129975452,Beaver Trap Junction
-118.388315,46.0382253975452,Beeline Automotive
-120.004349,47.8398120975452,Bills Gas
-122.6793859,48.4924590975452,Boat Fueling Station
-122.131077,47.7618112975452,BP
-122.897503,47.6937719975452,Brinnon Fuels
-122.3344006,47.4701892975452,B TOWN 76
-117.3653794,46.8901877975452,Bush
-119.8803882,46.2531614975452,Cenex
-117.3638373,46.8883472975452,Cenex
-119.8594695,47.0832883975452,CENEX
