Application: Application Number,Total Amount,Application Received Date,Vehicle Category,Vehicle Model,Vehicle Year,Date of Purchase,Purchase or Lease?,Applicant: Postal Code,Applicant: County
M-022210,"$2,500",4/25/2021,BEV,Chevrolet Bolt EV,2021,4/11/2021,Purchased,02141,Middlesex
M-022211,"$2,500",4/25/2021,BEV,Nissan LEAF SV,2020,4/25/2021,Purchased,02132,Suffolk
M-022212,"$2,500",4/25/2021,BEV,Hyundai Kona Electric,2020,4/22/2021,Leased,01075,Hampshire
M-022213,"$2,500",4/25/2021,BEV,Tesla Model 3,2021,3/17/2021,Purchased,02421,Middlesex
M-022214,"$1,500",4/25/2021,PHEV,Toyota Prius Prime,2021,3/27/2021,Purchased,02446,Norfolk
M-022215,"$1,500",4/26/2021,PHEV,Toyota Rav4 Prime,2021,4/24/2021,Purchased,01776,Middlesex
M-022216,"$2,500",4/26/2021,BEV,Tesla Model 3,2021,3/31/2021,Leased,02351,Plymouth
M-022217,"$2,500",4/26/2021,BEV,Chevrolet Bolt EV,2021,4/19/2021,Leased,02474,Middlesex
M-022218,"$2,500",4/26/2021,BEV,Chevrolet Bolt EV,2021,4/22/2021,Purchased,02019,Norfolk
M-022221,"$2,500",4/26/2021,BEV,Ford Mustang Mach-E,2021,4/15/2021,Purchased,02494,Norfolk
M-022222,"$1,500",4/26/2021,PHEV,Toyota Prius Prime,2021,4/18/2021,Purchased,01945,Essex
M-022223,"$1,500",4/26/2021,PHEV,Toyota Rav4 Prime,2021,4/23/2021,Purchased,02143,Middlesex
M-022224,"$2,500",4/26/2021,BEV,Hyundai Kona Electric,2020,3/29/2021,Leased,02072,Norfolk
M-022225,"$2,500",4/26/2021,BEV,Chevrolet Bolt EV,2021,4/25/2021,Purchased,01720,Middlesex
M-022227,"$1,500",4/26/2021,PHEV,Toyota Prius Prime,2020,8/11/2020,Purchased,01720,Middlesex
M-022229,"$2,500",4/27/2021,BEV,Chevrolet Bolt EV,2020,4/23/2021,Leased,01720,Middlesex
M-022230,"$1,500",4/27/2021,PHEV,Toyota Rav4 Prime,2021,4/22/2021,Purchased,02030,Norfolk
M-022233,"$2,500",4/27/2021,BEV,Volkswagen ID.4 1st Edition,2021,4/26/2021,Purchased,02453,Middlesex
M-022234,"$2,500",4/27/2021,BEV,Volkswagen ID.4 1st Edition,2021,4/21/2021,Leased,01240,Berkshire
M-022235,"$1,500",4/27/2021,PHEV,Toyota Prius Prime,2021,4/13/2021,Purchased,01532,Worcester
M-022237,"$1,500",4/27/2021,PHEV,Toyota Rav4 Prime,2021,4/10/2021,Purchased,01026,Hampshire
M-022238,"$1,500",4/27/2021,PHEV,Toyota Rav4 Prime,2021,4/17/2021,Purchased,02130,Suffolk
M-022240,"$2,500",4/27/2021,BEV,Tesla Model 3,2021,3/19/2021,Purchased,02719,Bristol
M-022241,"$2,500",4/27/2021,BEV,Tesla Model 3,2021,3/30/2021,Purchased,01096,Hampshire
M-022242,"$2,500",4/28/2021,BEV,Hyundai Kona Electric,2020,3/24/2021,Leased,02379,Plymouth
M-022243,"$1,500",4/28/2021,PHEV,Toyota Prius Prime,2021,4/13/2021,Purchased,01002,Hampshire
M-022244,"$2,500",4/28/2021,BEV,Hyundai Kona Electric,2021,4/26/2021,Purchased,02445,Norfolk
M-022245,"$1,500",4/28/2021,PHEV,Toyota Rav4 Prime,2021,4/24/2021,Purchased,01821,Middlesex
M-022246,"$1,500",4/28/2021,PHEV,Toyota Rav4 Prime,2021,4/17/2021,Purchased,02170,Norfolk
M-022247,"$1,500",4/28/2021,PHEV+,Chrysler Pacifica,2021,4/24/2021,Purchased,01581,Worcester
M-022248,"$2,500",4/28/2021,BEV,Tesla Model 3,2021,3/22/2021,Purchased,02451,Middlesex
M-022250,"$2,500",4/28/2021,BEV,Tesla Model 3,2021,4/28/2021,Purchased,02169,Norfolk
M-022251,"$2,500",4/28/2021,BEV,Volkswagen ID.4 Pro,2021,4/22/2021,Purchased,01748,Middlesex
M-022252,"$2,500",4/28/2021,BEV,Hyundai Kona Electric,2021,4/24/2021,Leased,01062,Hampshire
M-022253,"$1,500",4/28/2021,PHEV,Toyota Rav4 Prime,2021,4/28/2021,Purchased,01330,Franklin
