Application: Application Number,Total Amount,Application Received Date,Vehicle Category,Vehicle Model,Vehicle Year,Date of Purchase,Purchase or Lease?,Applicant: Postal Code,Applicant: County
M-002159,"$2,500",3/18/2016,PHEV+,Chevrolet Volt,2016,3/14/2016,Purchased,01801,Middlesex
M-002160,"$2,500",3/19/2016,BEV,BMW i3 REx,2015,3/11/2016,Leased,01923,Essex
M-002161,"$2,500",3/20/2016,PHEV+,Chevrolet Volt,2014,12/31/2015,Purchased,02575,Dukes
M-002162,"$2,500",3/20/2016,BEV,Volkswagen e-Golf,2016,3/19/2016,Leased,02118,Suffolk
M-002163,"$1,500",3/20/2016,PHEV,Volvo XC90 T8,2016,12/29/2015,Purchased,01056,Hampden
M-002164,"$2,500",3/20/2016,BEV,Tesla Model S - 70 kWh,2016,3/15/2016,Leased,01775,Middlesex
M-002165,"$1,000",3/20/2016,BEV,Tesla Model S - 90 kWh,2016,3/18/2016,Purchased,01702,Middlesex
M-002166,"$2,500",3/20/2016,PHEV+,Chevrolet Volt,2016,2/15/2016,Purchased,01824,Middlesex
M-002167,"$2,500",3/21/2016,PHEV+,Chevrolet Volt,2016,3/12/2016,Leased,01890,Middlesex
M-002168,"$1,500",3/21/2016,PHEV,Ford Fusion Energi,2016,3/12/2016,Leased,02138,Middlesex
M-002169,"$2,500",3/21/2016,PHEV+,Chevrolet Volt,2016,3/19/2016,Purchased,02139,Middlesex
M-002170,"$2,500",3/21/2016,BEV,Nissan LEAF S,2015,2/29/2016,Leased,02780,Plymouth
M-002171,"$1,500",3/22/2016,PHEV,Ford Fusion Energi,2016,3/22/2016,Leased,01749,Middlesex
M-002173,"$2,500",3/22/2016,BEV,Smart Electric Fortwo Coupe,2016,3/18/2016,Leased,02155,Middlesex
M-002174,"$1,500",3/23/2016,PHEV,Audi A3 e-tron,2016,3/10/2016,Leased,01886,Middlesex
M-002175,"$2,500",3/23/2016,BEV,Nissan LEAF SV,2016,3/19/2016,Leased,02364,Plymouth
M-002176,"$2,500",3/23/2016,BEV,Tesla Model S - 85 kWh,2016,3/23/2016,Purchased,02492,Norfolk
M-002177,"$2,500",3/24/2016,BEV,Smart Electric Fortwo Coupe,2016,3/21/2016,Leased,02474,Middlesex
M-002180,"$1,500",3/25/2016,PHEV,Ford C-MAX Energi,2016,3/22/2016,Leased,01702,Middlesex
M-002181,"$1,000",3/25/2016,BEV,Tesla Model S - 70 kWh,2016,3/25/2016,Purchased,01730,Middlesex
M-002182,"$2,500",3/25/2016,BEV,Tesla Model S - 90 kWh,2016,3/25/2016,Purchased,02043,Plymouth
M-002183,"$2,500",3/25/2016,BEV,BMW i3 REx,2015,2/26/2016,Leased,01890,Middlesex
M-002184,"$1,500",3/26/2016,PHEV,Audi A3 e-tron,2016,3/19/2016,Purchased,01240,Berkshire
M-002185,"$1,500",3/26/2016,PHEV,Ford Fusion Energi,2016,3/21/2016,Leased,01930,Essex
M-002187,"$1,000",3/26/2016,BEV,Tesla Model S - 90 kWh,2015,3/19/2016,Purchased,02478,Middlesex
M-002188,"$2,500",3/26/2016,BEV,BMW i3 REx,2015,1/31/2016,Leased,02119,Suffolk
M-002189,"$2,500",3/26/2016,BEV,Mercedes-Benz B-Class Electric Drive,2016,3/26/2016,Purchased,01106,Hampden
M-002190,"$2,500",3/28/2016,BEV,Volkswagen e-Golf,2015,3/25/2016,Leased,01106,Hampden
M-002192,"$2,500",3/28/2016,BEV,Nissan LEAF SV,2016,1/29/2016,Purchased,01532,Worcester
M-002193,"$2,500",3/29/2016,BEV,Tesla Model S - 90 kWh,2016,3/25/2016,Purchased,02532,Barnstable
M-002194,"$1,000",3/29/2016,BEV,Tesla Model S - 90 kWh,2015,3/28/2016,Leased,02116,Suffolk
M-002195,"$2,500",3/29/2016,BEV,Tesla Model S - 90 kWh,2016,3/23/2016,Purchased,01770,Middlesex
M-002196,"$2,500",3/29/2016,BEV,Tesla Model X,2016,3/26/2016,Purchased,02459,Middlesex
M-002197,"$2,500",3/29/2016,PHEV+,Chevrolet Volt,2014,3/28/2016,Purchased,01913,Essex
M-002198,"$2,500",3/29/2016,PHEV+,Chevrolet Volt,2016,2/25/2016,Leased,01054,Franklin
M-002199,"$2,500",3/29/2016,BEV,Tesla Model S - 70 kWh,2016,3/25/2016,Purchased,01590,Worcester
M-002200,"$1,000",3/29/2016,BEV,Tesla Model S - 90 kWh,2016,3/29/2016,Purchased,02467,Norfolk
M-002201,"$2,500",3/30/2016,BEV,Tesla Model S - 70 kWh,2016,3/29/2016,Purchased,01730,Middlesex
M-002202,"$1,500",3/30/2016,PHEV,Ford Fusion Energi,2016,3/29/2016,Leased,02127,Suffolk
M-002203,"$2,500",3/30/2016,PHEV+,Chevrolet Volt,2016,3/28/2016,Purchased,02478,Middlesex
M-002204,"$2,500",3/30/2016,BEV,Ford Focus Electric,2016,3/24/2016,Leased,02760,Bristol
M-002205,"$2,500",3/30/2016,BEV,BMW i3 REx,2014,2/23/2016,Purchased,01062,Hampshire
M-002206,"$2,500",3/30/2016,BEV,Smart Electric Fortwo Coupe,2016,3/28/2016,Leased,02144,Middlesex
M-002207,"$1,500",3/30/2016,PHEV,Ford C-MAX Energi,2016,3/17/2016,Purchased,02460,Middlesex
M-002208,"$2,500",3/30/2016,BEV,Tesla Model X,2016,3/30/2016,Purchased,02140,Middlesex
M-002209,"$2,500",3/31/2016,BEV,Nissan LEAF S,2016,3/25/2016,Purchased,01985,Essex
M-002210,"$2,500",3/31/2016,BEV,Tesla Model X,2016,3/28/2016,Purchased,02478,Middlesex
M-002211,"$2,500",3/31/2016,BEV,Tesla Model S - 90 kWh,2015,12/31/2015,Purchased,02493,Middlesex
M-002212,"$2,500",3/31/2016,BEV,Tesla Model X,2016,3/22/2016,Purchased,02460,Middlesex
M-002213,"$1,500",3/31/2016,PHEV,Ford Fusion Energi,2016,3/31/2016,Leased,01945,Essex
M-002214,"$2,500",3/31/2016,BEV,Tesla Model X,2016,3/19/2016,Purchased,02125,Suffolk
M-002215,"$1,500",3/31/2016,PHEV,Ford Fusion Energi,2016,3/31/2016,Leased,01085,Hampden
M-002217,"$2,500",3/31/2016,BEV,Tesla Model X,2016,3/31/2016,Purchased,01773,Middlesex
M-002218,"$1,000",4/1/2016,BEV,Tesla Model S - 90 kWh,2016,3/29/2016,Purchased,02130,Suffolk
M-002219,"$2,500",4/1/2016,BEV,Tesla Model X,2016,3/26/2016,Purchased,01468,Worcester
M-002220,"$1,500",4/2/2016,PHEV,Ford Fusion Energi,2016,3/31/2016,Leased,01077,Hampden
M-002221,"$2,500",4/3/2016,PHEV+,Chevrolet Volt,2016,3/26/2016,Purchased,02189,Norfolk
M-002222,"$2,500",4/3/2016,PHEV+,Chevrolet Volt,2017,3/14/2016,Purchased,02184,Norfolk
M-002224,"$1,000",4/4/2016,BEV,Tesla Model S - 90 kWh,2016,3/31/2016,Purchased,01748,Middlesex
M-002226,"$1,500",4/4/2016,PHEV,Volvo XC90 T8,2016,1/19/2016,Purchased,02132,Suffolk
M-002227,"$2,500",4/4/2016,BEV,Tesla Model S - 90 kWh,2016,3/5/2016,Leased,02186,Norfolk
M-002228,"$2,500",4/4/2016,BEV,Tesla Model S - 70 kWh,2016,3/31/2016,Purchased,02138,Middlesex
M-002229,"$2,500",4/4/2016,PHEV+,Chevrolet Volt,2017,3/28/2016,Leased,02048,Bristol
M-002230,"$2,500",4/4/2016,BEV,Volkswagen e-Golf,2015,6/1/2015,Purchased,02132,Suffolk
M-002231,"$2,500",4/4/2016,BEV,Volkswagen e-Golf,2016,4/4/2016,Leased,02465,Middlesex
M-002232,"$2,500",4/5/2016,BEV,Tesla Model S - 90 kWh,2016,3/30/2016,Purchased,02129,Suffolk
M-002233,"$2,500",4/5/2016,BEV,Tesla Model S - 90 kWh,2016,3/31/2016,Purchased,01776,Middlesex
M-002234,"$2,500",4/5/2016,BEV,Volkswagen e-Golf,2016,4/5/2016,Leased,02563,Barnstable
M-002235,"$2,500",4/6/2016,PHEV+,Chevrolet Volt,2017,3/14/2016,Purchased,02152,Suffolk
M-002236,"$2,500",4/7/2016,BEV,Tesla Model S - 90 kWh,2016,3/25/2016,Purchased,02332,Plymouth
M-002237,"$1,500",4/7/2016,PHEV,Hyundai Sonata Plug-in Hybrid,2016,4/5/2016,Purchased,01701,Middlesex
M-002238,"$2,500",4/8/2016,BEV,BMW i3 REx,2016,4/6/2016,Leased,02127,Suffolk
M-002241,"$1,500",4/9/2016,PHEV,Ford C-MAX Energi,2016,4/6/2016,Leased,02081,Norfolk
M-002242,"$2,500",4/9/2016,BEV,Tesla Model X,2016,4/4/2016,Leased,02535,Dukes
M-002245,"$2,500",4/10/2016,BEV,BMW i3,2015,2/7/2016,Leased,02420,Middlesex
M-002246,"$2,500",4/10/2016,BEV,Tesla Model S - 90 kWh,2016,3/9/2016,Purchased,02054,Norfolk
M-002247,"$2,500",4/10/2016,BEV,Volkswagen e-Golf,2016,4/4/2016,Leased,01451,Worcester
M-002248,"$1,500",4/11/2016,PHEV,Audi A3 e-tron,2016,4/4/2016,Leased,02050,Plymouth
M-002249,"$2,500",4/11/2016,PHEV+,Chevrolet Volt,2017,4/10/2016,Leased,02130,Suffolk
M-002250,"$2,500",4/11/2016,BEV,Tesla Model S - 70 kWh,2016,3/25/2016,Purchased,02421,Middlesex
M-002251,"$2,500",4/12/2016,PHEV+,Chevrolet Volt,2016,4/8/2016,Leased,01545,Worcester
M-002252,"$1,000",4/12/2016,BEV,Tesla Model S - 90 kWh,2016,4/5/2016,Purchased,01760,Middlesex
M-002254,"$2,500",4/12/2016,PHEV+,Chevrolet Volt,2017,4/9/2016,Leased,02155,Middlesex
M-002255,"$2,500",4/12/2016,BEV,Tesla Model S - 90 kWh,2016,4/7/2016,Purchased,01776,Middlesex
M-002256,"$1,500",4/14/2016,PHEV,Ford C-MAX Energi,2016,4/14/2016,Leased,01754,Middlesex
M-002257,"$2,500",4/15/2016,BEV,Tesla Model S - 90 kWh,2016,3/15/2016,Purchased,01730,Middlesex
M-002258,"$2,500",4/16/2016,BEV,Tesla Model S - 90 kWh,2016,4/12/2016,Purchased,02038,Norfolk
M-002259,"$1,000",4/16/2016,BEV,Tesla Model S - 85 kWh,2016,4/15/2016,Leased,02465,Middlesex
M-002260,"$2,500",4/16/2016,BEV,Tesla Model S - 70 kWh,2016,4/14/2016,Leased,02493,Middlesex
M-002261,"$2,500",4/17/2016,PHEV+,Chevrolet Volt,2016,4/4/2016,Purchased,01532,Worcester
M-002263,"$1,000",4/17/2016,BEV,Tesla Model S - 70 kWh,2016,3/26/2016,Leased,01730,Middlesex
M-002264,"$1,500",4/17/2016,PHEV,Ford Fusion Energi,2016,4/11/2016,Leased,01129,Hampden
M-002266,"$1,000",4/18/2016,BEV,Tesla Model S - 90 kWh,2016,4/16/2016,Purchased,02493,Middlesex
M-002268,"$2,500",4/18/2016,BEV,Tesla Model S - 85 kWh,2016,4/6/2016,Purchased,02067,Norfolk
M-002269,"$1,500",4/18/2016,PHEV,Ford C-MAX Energi,2016,4/16/2016,Leased,01803,Middlesex
M-002270,"$1,500",4/18/2016,PHEV,Ford Fusion Energi,2016,8/29/2015,Purchased,02420,Middlesex
M-002271,"$1,500",4/18/2016,PHEV,Audi A3 e-tron,2016,3/26/2016,Purchased,02481,Norfolk
M-002272,"$2,500",4/18/2016,PHEV+,Chevrolet Volt,2017,4/11/2016,Leased,02420,Middlesex
M-002273,"$2,500",4/18/2016,BEV,Tesla Model S - 90 kWh,2016,3/11/2016,Leased,02464,Middlesex
M-002274,"$1,500",4/19/2016,PHEV,Ford Fusion Energi,2016,4/12/2016,Leased,01085,Hampden
M-002275,"$2,500",4/19/2016,PHEV+,Chevrolet Volt,2016,12/17/2015,Purchased,02130,Suffolk
M-002276,"$1,500",4/19/2016,PHEV,Ford Fusion Energi,2016,2/29/2016,Leased,01742,Middlesex
M-002277,"$2,500",4/20/2016,PHEV+,Chevrolet Volt,2017,4/4/2016,Purchased,01007,Hampshire
M-002278,"$2,500",4/20/2016,BEV,Tesla Model S - 90 kWh,2016,4/16/2016,Purchased,02116,Suffolk
M-002279,"$2,500",4/20/2016,PHEV+,Chevrolet Volt,2016,4/15/2016,Leased,01507,Worcester
M-002280,"$2,500",4/20/2016,PHEV+,Chevrolet Volt,2016,4/18/2016,Leased,01581,Worcester
M-002281,"$1,000",4/20/2016,PHEV,Volvo XC90 T8,2016,3/31/2016,Purchased,01845,Essex
M-002282,"$1,500",4/21/2016,PHEV,Audi A3 e-tron,2016,4/19/2016,Leased,02465,Middlesex
M-002283,"$2,500",4/22/2016,PHEV+,Chevrolet Volt,2016,2/15/2016,Leased,01772,Worcester
M-002284,"$2,500",4/22/2016,PHEV+,Chevrolet Volt,2016,4/19/2016,Purchased,01028,Hampden
M-002285,"$2,500",4/22/2016,PHEV+,Chevrolet Volt,2016,2/10/2016,Leased,01721,Middlesex
M-002286,"$1,000",4/22/2016,BEV,Tesla Model S - 70 kWh,2016,4/13/2016,Purchased,01801,Middlesex
M-002287,"$2,500",4/23/2016,PHEV+,Chevrolet Volt,2016,4/16/2016,Leased,01606,Worcester
M-002288,"$1,500",4/23/2016,PHEV,Hyundai Sonata Plug-in Hybrid,2016,4/22/2016,Leased,02302,Plymouth
M-002289,"$1,500",4/24/2016,PHEV,Volvo XC90 T8,2016,2/15/2016,Purchased,02130,Suffolk
M-002290,"$1,500",4/24/2016,PHEV,Ford C-MAX Energi,2016,4/18/2016,Leased,02767,Bristol
M-002292,"$2,500",4/24/2016,PHEV+,Chevrolet Volt,2016,4/23/2016,Purchased,02476,Middlesex
M-002293,"$2,500",4/24/2016,PHEV+,Chevrolet Volt,2017,4/24/2016,Leased,01915,Essex
M-002294,"$2,500",4/24/2016,PHEV+,Chevrolet Volt,2016,1/29/2016,Leased,02155,Middlesex
M-002295,"$2,500",4/24/2016,BEV,Nissan LEAF SV,2016,4/24/2016,Leased,01845,Essex
M-002296,"$1,000",4/24/2016,PHEV,BMW X5 xDrive40e,2016,4/22/2016,Leased,02184,Norfolk
M-002297,"$2,500",4/25/2016,BEV,Nissan LEAF S,2016,4/22/2016,Purchased,01571,Worcester
M-002298,"$1,000",4/25/2016,BEV,Tesla Model S - 85 kWh,2016,3/31/2016,Leased,02052,Norfolk
M-002299,"$1,000",4/25/2016,BEV,Tesla Model S - 70 kWh,2016,4/6/2016,Purchased,01945,Essex
M-002300,"$2,500",4/25/2016,BEV,Nissan LEAF SL,2016,4/20/2016,Purchased,02472,Middlesex
M-002301,"$2,500",4/25/2016,PHEV+,Chevrolet Volt,2016,4/25/2016,Leased,02777,Bristol
M-002302,"$2,500",4/25/2016,BEV,Nissan LEAF SL,2014,4/18/2016,Purchased,01701,Middlesex
M-002303,"$2,500",4/26/2016,BEV,Smart Electric Fortwo Coupe,2016,4/25/2016,Leased,02143,Middlesex
M-002304,"$2,500",4/26/2016,PHEV+,Chevrolet Volt,2017,4/25/2016,Purchased,01876,Middlesex
M-002305,"$2,500",4/27/2016,PHEV+,Chevrolet Volt,2017,4/21/2016,Purchased,01915,Essex
M-002306,"$1,500",4/27/2016,PHEV,Ford Fusion Energi,2016,4/26/2016,Leased,01718,Middlesex
M-002307,"$2,500",4/27/2016,PHEV+,Chevrolet Volt,2016,3/11/2016,Purchased,02420,Middlesex
M-002308,"$1,500",4/28/2016,PHEV,Ford Fusion Energi,2016,4/27/2016,Leased,01062,Hampshire
M-002309,"$1,500",4/28/2016,PHEV,Ford Fusion Energi,2016,4/28/2016,Leased,02451,Middlesex
M-002310,"$1,500",4/28/2016,PHEV,Ford C-MAX Energi,2016,4/27/2016,Leased,02151,Suffolk
M-002311,"$2,500",4/28/2016,BEV,Tesla Model X,2016,4/26/2016,Purchased,01701,Middlesex
M-002312,"$1,500",4/29/2016,PHEV,Ford Fusion Energi,2016,4/28/2016,Leased,01542,Worcester
M-002313,"$2,500",4/29/2016,PHEV+,Chevrolet Volt,2016,4/29/2016,Purchased,02453,Middlesex
M-002314,"$2,500",4/30/2016,BEV,Volkswagen e-Golf,2015,4/3/2016,Leased,02478,Middlesex
M-002315,"$2,500",4/30/2016,BEV,Nissan LEAF SL,2015,3/28/2016,Purchased,01351,Franklin
M-002316,"$2,500",4/30/2016,BEV,Tesla Model X,2016,3/31/2016,Purchased,02467,Norfolk
M-002317,"$1,500",4/30/2016,PHEV,Hyundai Sonata Plug-in Hybrid,2016,3/26/2016,Purchased,01845,Essex
M-002318,"$2,500",5/1/2016,BEV,Volkswagen e-Golf,2016,4/27/2016,Leased,01929,Essex
M-002319,"$2,500",5/1/2016,BEV,Tesla Model X,2016,4/30/2016,Purchased,02108,Suffolk
M-002320,"$2,500",5/2/2016,PHEV+,Chevrolet Volt,2017,4/20/2016,Leased,01844,Essex
M-002321,"$1,000",5/2/2016,PHEV,BMW X5 xDrive40e,2016,4/30/2016,Leased,01867,Middlesex
M-002322,"$1,000",5/2/2016,BEV,Tesla Model S - 70 kWh,2016,4/29/2016,Purchased,02481,Norfolk
M-002324,"$1,000",5/2/2016,PHEV,BMW X5 xDrive40e,2016,4/29/2016,Purchased,02180,Middlesex
M-002326,"$1,500",5/2/2016,PHEV,Ford Fusion Energi,2016,4/30/2016,Leased,02343,Norfolk
M-002327,"$2,500",5/2/2016,BEV,Volkswagen e-Golf,2015,5/2/2016,Purchased,01770,Middlesex
M-002329,"$2,500",5/2/2016,BEV,Nissan LEAF S,2016,4/28/2016,Purchased,01749,Middlesex
M-002330,"$1,500",5/3/2016,PHEV,Ford C-MAX Energi,2016,5/3/2016,Leased,01340,Franklin
M-002331,"$2,500",5/3/2016,PHEV+,Chevrolet Volt,2016,4/28/2016,Purchased,01379,Franklin
M-002332,"$1,500",5/3/2016,PHEV,Hyundai Sonata Plug-in Hybrid,2016,3/1/2016,Purchased,02066,Plymouth
M-002333,"$2,500",5/3/2016,BEV,Volkswagen e-Golf,2015,5/2/2016,Leased,02472,Middlesex
M-002334,"$2,500",5/3/2016,BEV,Nissan LEAF SV,2016,4/30/2016,Leased,01824,Middlesex
M-002335,"$2,500",5/4/2016,BEV,Tesla Model S - 90 kWh,2016,4/13/2016,Purchased,02492,Norfolk
M-002336,"$1,500",5/4/2016,PHEV,Ford Fusion Energi,2015,9/29/2015,Leased,01754,Middlesex
M-002337,"$2,500",5/4/2016,BEV,Tesla Model S - 90 kWh,2016,3/10/2016,Purchased,02030,Norfolk
M-002338,"$1,500",5/5/2016,PHEV,Ford Fusion Energi,2016,4/14/2016,Leased,02453,Middlesex
M-002339,$750,5/5/2016,ZEM,Zero DS,2016,4/1/2016,Purchased,01432,Middlesex
M-002341,"$1,000",5/6/2016,BEV,Tesla Model S - 90 kWh,2016,4/14/2016,Leased,01776,Middlesex
M-002342,"$2,500",5/6/2016,PHEV+,Chevrolet Volt,2017,4/29/2016,Purchased,02459,Middlesex
M-002343,"$2,500",5/6/2016,PHEV+,Chevrolet Volt,2016,5/2/2016,Leased,01824,Middlesex
M-002344,"$2,500",5/6/2016,PHEV+,Chevrolet Volt,2017,5/4/2016,Purchased,02155,Middlesex
M-002345,"$2,500",5/6/2016,PHEV+,Chevrolet Volt,2017,5/5/2016,Purchased,02062,Norfolk
M-002348,"$2,500",5/7/2016,BEV,Smart Electric Fortwo Coupe,2016,4/29/2016,Leased,02493,Middlesex
M-002349,"$1,500",5/8/2016,PHEV,Ford Fusion Energi,2016,4/29/2016,Leased,02465,Middlesex
M-002350,"$1,500",5/8/2016,PHEV,Ford Fusion Energi,2016,5/2/2016,Leased,01056,Hampden
M-002351,"$2,500",5/8/2016,BEV,Volkswagen e-Golf,2015,5/2/2016,Leased,01824,Middlesex
M-002352,"$1,500",5/9/2016,PHEV,Ford C-MAX Energi,2016,4/26/2016,Leased,01035,Hampshire
M-002353,"$2,500",5/9/2016,BEV,Tesla Model S - 70 kWh,2016,3/1/2016,Leased,02492,Norfolk
M-002354,"$2,500",5/9/2016,BEV,Tesla Model S - 90 kWh,2016,3/19/2016,Leased,01778,Middlesex
M-002355,"$2,500",5/9/2016,BEV,Nissan LEAF S,2016,5/9/2016,Leased,02360,Plymouth
M-002356,"$2,500",5/10/2016,PHEV+,Chevrolet Volt,2017,5/10/2016,Purchased,01940,Essex
M-002357,"$2,500",5/10/2016,BEV,Tesla Model X,2016,5/6/2016,Purchased,02482,Norfolk
M-002358,"$1,500",5/11/2016,PHEV,Ford C-MAX Energi,2016,5/10/2016,Leased,01040,Hampden
M-002359,"$1,000",5/11/2016,PHEV,BMW X5 xDrive40e,2016,5/9/2016,Leased,02461,Middlesex
M-002360,"$2,500",5/11/2016,PHEV+,Chevrolet Volt,2017,4/30/2016,Leased,02492,Norfolk
M-002361,"$2,500",5/11/2016,BEV,BMW i3 REx,2015,5/11/2016,Leased,02125,Suffolk
M-002363,"$1,500",5/13/2016,PHEV,Ford Fusion Energi,2016,5/13/2016,Leased,01760,Middlesex
M-002364,"$1,500",5/13/2016,PHEV,Ford C-MAX Energi,2016,4/30/2016,Leased,02472,Middlesex
M-002365,"$1,500",5/14/2016,PHEV,Ford Fusion Energi,2016,4/27/2016,Leased,02054,Norfolk
M-002366,"$2,500",5/14/2016,BEV,Tesla Model S - 85 kWh,2016,3/5/2016,Purchased,02554,Nantucket
M-002367,"$1,500",5/15/2016,PHEV,Ford Fusion Energi,2016,5/14/2016,Leased,02169,Norfolk
M-002368,"$2,500",5/15/2016,BEV,Tesla Model X,2016,5/14/2016,Purchased,02116,Suffolk
M-002369,"$2,500",5/15/2016,BEV,Tesla Model X,2016,5/14/2016,Purchased,02030,Norfolk
M-002370,"$1,500",5/16/2016,PHEV,Ford C-MAX Energi,2016,5/16/2016,Leased,01742,Middlesex
M-002371,"$2,500",5/16/2016,BEV,Tesla Model X,2016,4/29/2016,Leased,02421,Middlesex
M-002373,"$2,500",5/16/2016,BEV,BMW i3 REx,2016,5/16/2016,Leased,02459,Middlesex
M-002374,"$2,500",5/17/2016,PHEV+,Chevrolet Volt,2014,4/15/2016,Purchased,01908,Essex
M-002375,"$2,500",5/17/2016,PHEV+,Chevrolet Volt,2016,5/8/2016,Purchased,02170,Norfolk
M-002376,"$2,500",5/17/2016,BEV,Tesla Model X,2016,5/17/2016,Purchased,02474,Middlesex
M-002377,"$2,500",5/17/2016,PHEV+,Chevrolet Volt,2017,5/17/2016,Purchased,02445,Norfolk
M-002378,"$2,500",5/17/2016,BEV,Smart Electric Fortwo Coupe,2016,5/13/2016,Purchased,02190,Norfolk
M-002379,"$1,000",5/18/2016,BEV,Tesla Model S - 70 kWh,2016,5/17/2016,Purchased,02467,Norfolk
M-002380,"$1,500",5/18/2016,PHEV,Ford Fusion Energi,2016,4/30/2016,Leased,02061,Plymouth
M-002381,"$2,500",5/19/2016,PHEV+,Chevrolet Volt,2017,5/17/2016,Purchased,02347,Plymouth
M-002383,"$2,500",5/19/2016,BEV,Volkswagen e-Golf,2016,5/16/2016,Leased,02554,Nantucket
M-002384,"$1,500",5/20/2016,PHEV,Ford C-MAX Energi,2016,5/20/2016,Leased,01040,Hampden
M-002385,"$2,500",5/20/2016,BEV,BMW i3 REx,2016,5/20/2016,Leased,01915,Essex
M-002386,"$1,500",5/20/2016,PHEV,Audi A3 e-tron,2016,5/16/2016,Leased,01940,Essex
M-002387,"$2,500",5/21/2016,PHEV+,Chevrolet Volt,2016,4/26/2016,Leased,02169,Norfolk
M-002388,"$2,500",5/21/2016,PHEV+,Chevrolet Volt,2016,5/20/2016,Leased,01030,Hampden
M-002389,"$1,500",5/22/2016,PHEV,Ford Fusion Energi,2016,5/14/2016,Leased,01083,Worcester
M-002391,"$1,000",5/22/2016,BEV,Tesla Model S - 70 kWh,2016,4/26/2016,Purchased,02660,Barnstable
M-002392,"$2,500",5/23/2016,PHEV+,Chevrolet Volt,2017,5/23/2016,Leased,02474,Middlesex
M-002393,"$2,500",5/23/2016,BEV,BMW i3 REx,2015,5/18/2016,Leased,02138,Middlesex
M-002394,"$2,500",5/23/2016,PHEV+,Chevrolet Volt,2017,5/22/2016,Leased,01757,Worcester
M-002395,"$2,500",5/24/2016,PHEV+,Chevrolet Volt,2016,5/24/2016,Leased,02130,Suffolk
M-002396,"$2,500",5/24/2016,PHEV+,Chevrolet Volt,2017,5/23/2016,Leased,02493,Middlesex
M-002397,"$2,500",5/24/2016,PHEV+,Chevrolet Volt,2017,5/6/2016,Purchased,01569,Worcester
M-002398,"$1,500",5/24/2016,PHEV,Ford C-MAX Energi,2016,5/23/2016,Leased,02171,Norfolk
M-002399,"$2,500",5/25/2016,BEV,Tesla Model X,2016,5/19/2016,Purchased,02115,Suffolk
M-002400,"$1,500",5/25/2016,PHEV,Ford C-MAX Energi,2016,5/12/2016,Leased,01778,Middlesex
M-002401,"$2,500",5/25/2016,BEV,Nissan LEAF SV,2016,4/15/2016,Purchased,02451,Middlesex
M-002402,"$2,500",5/25/2016,BEV,Tesla Model X,2016,5/20/2016,Purchased,02115,Suffolk
M-002403,"$1,000",5/26/2016,BEV,Tesla Model S - 90 kWh,2016,5/25/2016,Purchased,01701,Middlesex
M-002404,"$2,500",5/26/2016,BEV,Tesla Model X,2016,5/6/2016,Purchased,02169,Norfolk
M-002405,"$1,500",5/26/2016,PHEV,Ford C-MAX Energi,2016,5/24/2016,Leased,01040,Hampden
M-002406,"$2,500",5/26/2016,PHEV+,Chevrolet Volt,2017,5/26/2016,Purchased,02138,Middlesex
M-002407,"$2,500",5/26/2016,PHEV+,Chevrolet Volt,2017,5/23/2016,Purchased,01930,Essex
M-002408,"$2,500",5/27/2016,PHEV+,Chevrolet Volt,2016,5/27/2016,Purchased,01742,Middlesex
M-002409,"$2,500",5/28/2016,BEV,Tesla Model X,2016,5/27/2016,Purchased,02467,Norfolk
M-002410,"$2,500",5/28/2016,PHEV+,Chevrolet Volt,2017,4/26/2016,Purchased,02130,Suffolk
M-002411,"$2,500",5/28/2016,BEV,Tesla Model X,2016,5/26/2016,Purchased,02346,Norfolk
M-002412,"$2,500",5/28/2016,BEV,Nissan LEAF S,2016,5/12/2016,Purchased,01460,Middlesex
M-002413,"$2,500",5/28/2016,BEV,Volkswagen e-Golf,2016,5/27/2016,Leased,02474,Middlesex
M-002414,"$2,500",5/29/2016,PHEV+,Chevrolet Volt,2016,5/24/2016,Leased,02140,Middlesex
M-002415,"$1,500",5/29/2016,PHEV,Ford Fusion Energi,2016,5/25/2016,Leased,02148,Middlesex
M-002416,"$2,500",5/30/2016,BEV,BMW i3 REx,2015,5/23/2016,Leased,02466,Middlesex
M-002417,"$1,000",5/30/2016,PHEV,BMW X5 xDrive40e,2016,5/27/2016,Purchased,02481,Norfolk
M-002419,"$2,500",5/30/2016,BEV,Volkswagen e-Golf,2015,5/30/2016,Leased,02131,Suffolk
M-002420,"$2,500",5/30/2016,PHEV+,Chevrolet Volt,2017,5/24/2016,Leased,02478,Middlesex
M-002421,"$2,500",5/30/2016,BEV,Tesla Model X,2016,5/27/2016,Purchased,01921,Essex
M-002424,"$1,500",5/31/2016,PHEV,Ford Fusion Energi,2016,4/27/2016,Leased,01013,Hampden
M-002425,"$1,000",5/31/2016,PHEV,BMW X5 xDrive40e,2016,5/31/2016,Leased,01810,Essex
M-002426,"$2,500",5/31/2016,PHEV+,Chevrolet Volt,2017,5/31/2016,Purchased,01886,Middlesex
M-002427,"$2,500",5/31/2016,PHEV+,Chevrolet Volt,2017,5/30/2016,Leased,02493,Middlesex
M-002428,"$1,000",5/31/2016,PHEV,BMW X5 xDrive40e,2016,5/30/2016,Leased,02492,Norfolk
M-002429,"$1,500",5/31/2016,PHEV,Ford Fusion Energi,2016,5/31/2016,Leased,01056,Hampden
M-002430,"$1,500",5/31/2016,PHEV,Ford C-MAX Energi,2016,5/26/2016,Leased,01886,Middlesex
